Year,TWDB Survey No,PWS Name,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections 
2022,35000,CITY OF ARLINGTON,N," 401,893 "," 10,157,776,000 "," 100,142 "," 3,202,767,000 "," 48,793 "," 3,373,365,000 "," 5,194 "," 660,346,000 ", 43 ," 805,050,000 ", 299 ,,," 18,199,304,000 "," 154,471 ",,
2023,35000,CITY OF ARLINGTON,N," 405,775 "," 9,533,945,000 "," 100,544 "," 3,209,245,000 "," 48,713 "," 3,363,616,000 "," 5,413 "," 724,983,000 ", 46 ," 839,372,000 ", 303 ,,," 17,671,161,000 "," 155,019 ",,
2022,35200,ARMADILLO WOODS SUBDIVISION,N, 702 ," 15,183,000 ", 233 ,,," 194,000 ", 1 ,,,,,,," 15,377,000 ", 234 ,,
2023,35200,ARMADILLO WOODS SUBDIVISION,N, 705 ," 15,026,000 ", 234 ,,," 156,000 ", 1 ,,,,,,," 15,182,000 ", 235 ,,
2022,35770,ARMSTRONG WSC,N," 3,246 "," 163,876,867 "," 1,073 ",,," 760,350 ", 9 ,,,,,,," 164,637,217 "," 1,082 ",,
2023,35770,ARMSTRONG WSC,N," 3,291 "," 157,071,199 "," 1,087 ",,," 1,334,340 ", 10 ,,,,,,," 158,405,539 "," 1,097 ",,
2022,35800,CITY OF ARP,N," 1,488 "," 23,266,000 ", 452 ,,," 5,260,000 ", 44 ,,,,,,," 28,526,000 ", 496 ," 5,000,000 ", 57 
2023,35800,CITY OF ARP,N," 1,503 "," 20,600,500 ", 459 ,,," 4,932,100 ", 42 ,,,,,,," 25,532,600 ", 501 ," 8,000,000 ", 69 
2022,35827,ARROWHEAD HILL WSC,Y, 50 ," 3,056,400 ", 26 ,,,,,,,,,,," 3,056,400 ", 26 ,, 2 
2023,35827,ARROWHEAD HILL WSC,Y, 50 ," 3,056,400 ", 26 ,,,,,,,,,,," 3,056,400 ", 26 ,, 2 
2022,35830,ARROWHEAD WATER SYSTEM HILL,N, 381 ," 7,003,000 ", 150 ,,,,,,,,,,," 7,003,000 ", 150 ,,
2023,35830,ARROWHEAD WATER SYSTEM HILL,N, 393 ," 7,150,000 ", 131 ,,,,,,,,,,," 7,150,000 ", 131 ,,
2022,35860,ARROYO DOBLE WATER SYSTEM,N, 945 ," 22,254,290 ", 305 ,,," 190,020 ", 10 ,,,,,,," 22,444,310 ", 315 ,,
2023,35860,ARROYO DOBLE WATER SYSTEM,N, 945 ," 27,355,960 ", 305 ,,," 216,740 ", 10 ,,,,,,," 27,572,700 ", 315 ,,
2022,36600,CITY OF ASHERTON,N," 1,200 "," 25,990,041 ", 365 ," 1,335,000 ", 33 ," 1,520,000 ", 40 ,,,,,,," 28,845,041 ", 438 ," 268,000 ", 6 
2023,36600,CITY OF ASHERTON,Y," 1,200 "," 25,990,041 ", 365 ," 1,335,000 ", 33 ," 1,520,000 ", 40 ,,,,,,," 28,845,041 ", 438 ," 268,000 ", 6 
2022,37400,CITY OF ASPERMONT,N, 789 ," 47,500,410 ", 459 ,,," 5,185,000 ", 144 ,,,,,,," 52,685,410 ", 603 ," 800,000 ",
2023,37400,CITY OF ASPERMONT,N, 789 ," 50,044,600 ", 465 ,,," 5,675,000 ", 145 ,,,,,,," 55,719,600 ", 610 ," 325,000 ",
2022,37470,CALLENDER LAKE,N," 2,199 "," 29,398,000 ", 729 ,,," 498,000 ", 4 ,,,,,,," 29,896,000 ", 733 ," 11,935,000 ",
2023,37470,CALLENDER LAKE,N," 2,121 "," 27,212,000 ", 722 ,,," 437,000 ", 4 ,,,,,,," 27,649,000 ", 726 ," 60,000 ",
2022,37472,HOLIDAY SHORES,N, 462 ," 6,602,000 ", 153 ,,," 1,000 ", 1 ,,,,,,," 6,603,000 ", 154 ," 714,290 ",
2023,37472,HOLIDAY SHORES,N, 462 ," 6,800,000 ", 153 ,,," 2,000 ", 1 ,,,,,,," 6,802,000 ", 154 ," 1,469,000 ",
2022,37474,IVANHOE LAND OF LAKES,N," 2,094 "," 23,588,000 ", 696 ,,," 122,000 ", 2 ,,,,,,," 23,710,000 ", 698 ," 66,637,000 ",
2023,37474,IVANHOE LAND OF LAKES,N," 2,091 "," 21,392,000 ", 695 ,,," 135,000 ", 2 ,,,,,,," 21,527,000 ", 697 ," 331,000 ",
2022,37476,CAMELOT FOREST WATER SYSTEM,N, 327 ," 2,373,000 ", 108 ,,,, 1 ,,,,,,," 2,373,000 ", 109 ," 1,923,000 ",
2023,37476,CAMELOT FOREST WATER SYSTEM,N, 312 ," 2,438,000 ", 103 ,,," 2,000 ", 1 ,,,,,,," 2,440,000 ", 104 ," 47,000 ",
2022,37477,GOVERNORS POINT,N, 480 ," 5,623,000 ", 160 ,,,,,,,,,,," 5,623,000 ", 160 ," 146,809 ",
2023,37477,GOVERNORS POINT,N, 480 ," 6,043,000 ", 160 ,,,,,,,,,,," 6,043,000 ", 160 ," 93,530 ",
2022,37478,HOLIDAY VILLAGES OF FORK,N," 1,755 "," 15,285,000 ", 578 ,,," 519,000 ", 7 ,,,,,,," 15,804,000 ", 585 ," 3,890,000 ",
2023,37478,HOLIDAY VILLAGES OF FORK,N," 1,761 "," 16,190,000 ", 608 ,,," 316,000 ", 7 ,,,,,,," 16,506,000 ", 615 ," 5,992,000 ",
2022,37479,HOLIDAY VILLAGES OF LIVINGSTON,N," 2,523 "," 25,509,000 ", 832 ,,," 500,000 ", 9 ,,,,,,," 26,009,000 ", 841 ," 5,701,665 ",
2023,37479,HOLIDAY VILLAGES OF LIVINGSTON,N," 2,583 "," 20,846,000 ", 853 ,,," 743,000 ", 8 ,,,,,,," 21,589,000 ", 861 ," 497,000 ",
2022,37905,ATASCOSA RURAL WSC,N," 15,424 "," 389,954,350 "," 3,728 ",,," 73,639,356 ", 128 ,,,,,,," 463,593,706 "," 3,856 "," 5,000,000 ", 142 
2023,37905,ATASCOSA RURAL WSC,N," 14,315 "," 340,697,433 "," 3,983 ",,," 57,290,473 ", 107 ,,,,,,," 397,987,906 "," 4,090 "," 5,000,000 ", 150 
2022,38200,CITY OF ATHENS,N," 12,878 "," 305,358,900 "," 3,852 "," 46,700,400 "," 1,202 "," 102,195,700 ", 646 ," 15,310,500 ", 41 ," 164,130,100 ", 235 ," 183,200 ", 2 ," 633,878,800 "," 5,978 ",,
2023,38200,CITY OF ATHENS,N," 12,857 "," 289,952,800 "," 3,902 "," 50,701,400 "," 1,307 "," 115,855,100 ", 657 ," 13,792,100 ", 40 ," 232,117,700 ", 235 ," 94,700 ", 2 ," 702,513,800 "," 6,143 ",,
2022,38601,ATHENS WATER SYSTEM COOP,Y, 90 ," 3,921,197 ", 30 ,,,,,,,,,,," 3,921,197 ", 30 ,,
2023,38601,ATHENS WATER SYSTEM COOP,N, 126 ," 4,013,000 ", 54 ,,,,,,,,,,," 4,013,000 ", 54 ," 322,000 ",
2022,39000,CITY OF ATLANTA,N," 5,433 "," 94,380,000 "," 2,147 ",,," 44,175,000 ", 374 ,,,,,,," 138,555,000 "," 2,521 ",,
2023,39000,CITY OF ATLANTA,N," 5,433 "," 92,108,000 "," 2,137 ",,," 50,062,000 ", 373 ,,,,,,," 142,170,000 "," 2,510 ",,
2022,40600,CITY OF AUBREY,N," 3,708 "," 84,461,400 "," 1,345 "," 6,667,610 ", 11 ," 30,446,351 ", 128 ,,,,,,," 121,575,361 "," 1,484 "," 2,930,200 ",
2023,40600,CITY OF AUBREY,N," 4,058 "," 93,715,789 "," 1,473 "," 6,553,700 ", 11 ," 41,124,927 ", 140 ,,,,,,," 141,394,416 "," 1,624 "," 5,050,000 ",
2022,41010,CITY OF AUSTIN WATER & WASTEWATER,N," 1,080,270 "," 16,574,970,200 "," 224,266 "," 11,745,294,000 "," 6,755 "," 11,262,707,700 "," 18,009 "," 3,601,480,900 ", 10 ," 1,106,477,700 "," 1,295 ",,," 46,050,818,040 "," 250,518 "," 130,718,284 ",
2023,41010,CITY OF AUSTIN WATER & WASTEWATER,N," 1,096,486 "," 16,058,699,400 "," 226,679 "," 11,750,531,600 "," 6,832 "," 11,529,513,600 "," 18,151 "," 3,607,375,300 ", 10 ," 1,125,001,500 ", 700 ,,," 45,578,278,400 "," 252,577 "," 427,908,726 ",
2022,41105,AUSTIN COUNTY WSC 1,N, 957 ," 25,267,880 ", 371 ," 432,240 ", 1 ," 566,760 ", 3 ,,,,,,," 26,266,880 ", 375 ,,
2023,41105,AUSTIN COUNTY WSC 1,Y, 957 ," 25,267,880 ", 371 ," 432,240 ", 1 ," 566,760 ", 3 ,,,,,,," 26,266,880 ", 375 ,,
2022,41106,AUSTIN COUNTY WSC 2,N, 560 ," 19,345,082 ", 223 ,,," 455,160 ", 1 ,,,,,,," 19,800,242 ", 224 ,,
2023,41106,AUSTIN COUNTY WSC 2,Y, 560 ," 19,345,082 ", 223 ,,," 455,160 ", 1 ,,,,,,," 19,800,242 ", 224 ,,
2022,41107,AUSTIN COUNTY WSC 4,N, 437 ," 11,945,187 ", 172 ," 661,782 ", 1 ," 3,297 ", 1 ," 1,540,984 ", 1 ,,,,," 14,151,250 ", 175 ,,
2023,41107,AUSTIN COUNTY WSC 4,Y, 437 ," 11,945,187 ", 172 ," 661,782 ", 1 ," 3,297 ", 1 ," 1,540,984 ", 1 ,,,,," 14,151,250 ", 175 ,,
2022,41108,AUSTIN COUNTY WSC 3,N, 570 ," 5,133,306 ", 223 ,,," 644,120 ", 2 ," 4,874 ", 1 ,,,,," 5,782,300 ", 226 ,,
2023,41108,AUSTIN COUNTY WSC 3,Y, 570 ," 5,133,306 ", 223 ,,," 644,120 ", 2 ," 4,874 ", 1 ,,,,," 5,782,300 ", 226 ,,
2022,41400,CITY OF AUSTWELL,N, 150 ,, 100 ,, 50 ,,,,,,,,,, 150 ,, 2 
2023,41400,CITY OF AUSTWELL,N, 150 ," 1,800,000 ", 100 ," 1,800,000 ", 50 ,,,,,,,,," 3,600,000 ", 150 ,, 2 
2022,41860,AURORA VISTA,N, 456 ," 16,131,000 ", 145 ,,," 339,000 ", 7 ,,,,,,," 16,470,000 ", 152 ," 19,000 ",
2023,41860,AURORA VISTA,N, 447 ," 14,031,000 ", 147 ,,," 221,000 ", 6 ,,,,,,," 14,252,000 ", 153 ," 796,000 ",
2022,42205,AVALON WSC,N," 1,203 "," 22,157,250 ", 349 ,,,,," 638,500 ", 8 ," 1,120,255 ", 10 ,,," 23,916,005 ", 367 ," 806,725 ", 10 
2023,42205,AVALON WSC,N," 1,203 "," 22,256,500 ", 349 ," 10,652,300 ", 18 ,, 10 ," 638,500 ", 7 ," 14,154,100 ", 10 ,,," 47,701,400 ", 394 ," 806,725 ", 10 
2022,42295,CITY OF AVERY,N, 421 ," 12,328,810 ", 208 ,,," 5,648,567 ", 26 ,, 1 ,,,,," 17,977,377 ", 235 ,,
2023,42295,CITY OF AVERY,N, 421 ," 13,476,610 ", 208 ,,," 5,332,285 ", 26 ,, 1 ,,,,," 18,808,895 ", 235 ,,
2022,43000,CITY OF AVINGER,N, 371 ," 9,797,000 ", 167 ," 1,608,000 ", 32 ," 1,563,000 ", 20 ,,," 400,000 ", 5 ,,," 13,368,000 ", 224 ," 1,920,000 ", 10 
2023,43000,CITY OF AVINGER,N, 371 ," 9,666,000 ", 188 ," 1,915,000 ", 32 ," 1,351,000 ", 20 ,,," 510,000 ", 5 ,,," 13,442,000 ", 245 ," 1,920,000 ", 10 
2022,44000,AXTELL WSC,Administratively Incomplete," 1,900 ",,,,,,,,,,,,,,,,
2023,44000,AXTELL WSC,N," 1,899 "," 51,723,900 ", 612 ,,," 323,900 ", 6 ,,," 3,583,500 ", 12 ," 5,332,400 ", 3 ," 60,963,700 ", 633 ,,
2022,44055,BLACKS FERRY WATER,N, 65 ," 1,169,300 ", 26 ,,,,,,,,,,," 1,169,300 ", 26 ," 120,000 ",
2023,44055,BLACKS FERRY WATER,N, 65 ," 1,150,900 ", 26 ,,,,,,,,,,," 1,150,900 ", 26 ," 120,000 ",
2022,44500,CITY OF AZLE,N," 13,608 "," 605,220,711 "," 5,606 ",,," 25,347,669 ", 606 ,,," 51,795,660 ", 107 ,,," 682,364,040 "," 6,319 "," 17,372,461 ",
2023,44500,CITY OF AZLE,N," 14,298 "," 587,269,457 "," 5,607 ",,," 16,779,769 ", 616 ,,," 51,349,712 ", 107 ,,," 655,398,938 "," 6,330 "," 18,082,339 ",
2022,49700,BACLIFF MUD,N," 8,677 "," 150,478,000 "," 3,082 "," 16,991,000 ", 164 ," 18,410,000 ", 185 ,,," 1,941,000 ", 13 ,,," 187,820,000 "," 3,444 "," 6,767,366 ", 1 
2023,49700,BACLIFF MUD,N," 8,500 "," 157,345,238 "," 3,460 "," 17,693,000 ", 149 ," 19,219,000 ", 181 ,,," 6,774,581 ", 13 ,,," 201,031,819 "," 3,803 ",,
2022,49725,BAFFIN BAY WSC,N," 1,302 "," 48,626,000 ", 434 ,,," 157,052 ",,,,,,,," 48,783,052 ", 434 ," 1,077,048 ", 29 
2023,49725,BAFFIN BAY WSC,N," 1,323 "," 40,463,000 ", 415 ," 874,000 ", 6 ," 7,601,000 ", 18 ,,," 521,000 ", 2 ,,," 49,459,000 ", 441 ," 1,552,000 ", 29 
2022,50000,CITY OF BAILEY,N, 235 ,, 255 ,,,,,,,,,,,, 255 ," 25,450 ", 13 
2023,50000,CITY OF BAILEY,Y, 235 ,, 255 ,,,,,,,,,,,, 255 ," 25,450 ", 13 
2022,50225,CITY OF BAIRD,Y," 1,600 "," 66,038,651 ", 587 ," 11,474,425 ", 30 ," 11,281,035 ", 79 ," 535,000 ", 1 ,,,,," 89,329,111 ", 697 ,,
2023,50225,CITY OF BAIRD,N," 1,600 "," 62,013,407 ", 597 ," 6,996,000 ", 30 ," 13,869,525 ", 85 ," 1,092,000 ", 1 ,,,,," 83,970,932 ", 713 ,,
2022,50395,BAKER ROAD MUD,N," 1,128 "," 57,696,000 ", 350 ,,,,,,," 8,707,000 ", 26 ,,," 66,403,000 ", 376 ,,
2023,50395,BAKER ROAD MUD,N," 1,128 "," 58,717,000 ", 350 ,,,,,,," 9,378,000 ", 26 ,,," 68,095,000 ", 376 ,,
2022,50400,CITY OF BALCH SPRINGS,N," 27,600 "," 414,142,689 "," 6,855 "," 154,502,640 "," 3,122 "," 146,173,580 "," 1,028 ",,,,,,," 714,818,909 "," 11,005 ",,
2023,50400,CITY OF BALCH SPRINGS,N," 28,448 "," 500,544,793 "," 6,855 "," 137,180,975 "," 3,122 "," 145,653,130 "," 1,028 ",,,,,,," 783,378,898 "," 11,005 ",,
2022,50700,CITY OF BALLINGER,N," 3,619 "," 120,011,001 "," 2,009 "," 4,800,442 ", 6 ," 19,201,760 ", 229 ," 9,600,880 ", 3 ," 6,400,586 ", 3 ,,," 160,014,669 "," 2,251 "," 10,430,000 ", 1 
2023,50700,CITY OF BALLINGER,N," 3,587 "," 85,085,237 "," 1,788 "," 4,187,680 ", 6 ," 39,936,830 ", 246 ," 49,896 ", 2 ," 2,500,746 ", 4 ,,," 131,760,389 "," 2,046 "," 10,395,000 ",
2022,50720,CITY OF BALMORHEA,N, 492 ," 9,758,600 ", 163 ," 1,692,100 ", 9 ," 1,769,000 ", 33 ,,," 2,199,300 ", 4 ,,," 15,419,000 ", 209 ," 5,500,000 ", 18 
2023,50720,CITY OF BALMORHEA,N, 460 ," 7,206,800 ", 160 ," 1,173,200 ", 9 ," 6,689,700 ", 38 ,,," 1,716,300 ", 11 ,,," 16,786,000 ", 218 ," 6,000,000 ", 16 
2022,51000,BAMMEL FOREST UTILITY,N," 1,044 "," 29,719,000 ", 348 ,,,,,,,,,,," 29,719,000 ", 348 ,,
2023,51000,BAMMEL FOREST UTILITY,N," 1,008 "," 26,400,000 ", 334 ,,," 107,000 ", 2 ,,,,,,," 26,507,000 ", 336 ,,
2022,51012,BAMMEL UTILITY DISTRICT,N," 4,041 "," 112,809,001 "," 1,283 ",,," 17,419,000 ", 53 ,,," 2,672,000 ", 11 ,,," 176,700,001 "," 1,347 "," 2,603,087 ",
2023,51012,BAMMEL UTILITY DISTRICT,N," 3,987 "," 90,665,000 "," 1,291 ",,," 23,981,000 ", 28 ,,," 3,451,000 ", 10 ,,," 161,897,000 "," 1,329 "," 2,805,550 ",
2022,51200,CITY OF BANDERA,N," 3,066 "," 30,013,010 ", 745 ,,," 33,905,310 ", 247 ,,,,,,," 63,918,320 ", 992 ," 548,042 ",
2023,51200,CITY OF BANDERA,N," 3,066 "," 28,952,944 ", 784 ,,," 41,959,764 ", 259 ,,,,,,," 70,912,708 "," 1,043 ",,
2022,51201,PECAN GROVE,N, 75 ," 1,524,000 ", 47 ,,,,,,,,,,," 1,524,000 ", 47 ,,
2023,51201,PECAN GROVE,N, 75 ," 1,461,000 ", 47 ,,,,,,,,,,," 1,461,000 ", 47 ,,
2022,51300,BANDERA COUNTY FWSD 1,N," 1,308 "," 21,433,051 ", 436 ,,,,,,,,,,," 21,433,051 ", 436 ,,
2023,51300,BANDERA COUNTY FWSD 1,N," 1,305 "," 16,003,519 ", 436 ,,,,,,,,,,," 16,003,519 ", 436 ,,
2022,51350,BANDERA RIVER RANCH 1,N," 1,011 "," 14,667,283 ", 319 ,,,,,,,,,,," 14,667,283 ", 319 ,,
2023,51350,BANDERA RIVER RANCH 1,Y," 1,011 "," 14,667,283 ", 319 ,,,,,,,,,,," 14,667,283 ", 319 ,,
2022,51620,ENCHANTED RIVER ESTATES,N, 498 ," 6,616,000 ", 165 ,,," 7,000 ", 1 ,,,,,,," 6,623,000 ", 166 ," 14,977,000 ",
2023,51620,ENCHANTED RIVER ESTATES,N, 495 ," 6,724,000 ", 164 ,,," 43,000 ", 1 ,,,,,,," 6,767,000 ", 165 ," 6,859,000 ",
2022,51700,CITY OF BANGS,N," 2,913 "," 33,394,819 ", 804 ," 34,247,557 ", 4 ," 8,194,326 ", 57 ,,," 34,554,116 ", 47 ,,," 110,390,818 ", 912 ," 188,150 ", 16 
2023,51700,CITY OF BANGS,N," 2,964 "," 31,034,013 ", 804 ," 6,849,906 ", 4 ," 67,636,430 ", 58 ,,," 3,285,056 ", 47 ,,," 109,095,205 ", 914 ," 5,059,946 ", 16 
2022,52400,NUECES COUNTY WCID 5,Y, 381 ," 20,674,290 ", 239 ,,,,,,,,,,," 20,674,290 ", 239 ,,
2023,52400,NUECES COUNTY WCID 5,Y, 381 ," 20,674,290 ", 239 ,,,,,,,,,,," 20,674,290 ", 239 ,,
2022,52510,BAR D RANCHETTES,N, 150 ," 13,506,000 ", 50 ,,,,,,,,,,," 13,506,000 ", 50 ," 15,000 ",
2023,52510,BAR D RANCHETTES,N, 171 ," 5,426,000 ", 57 ,,,,,,,,,,," 5,426,000 ", 57 ," 10,000 ",
2022,52800,CITY OF BARDWELL,N, 620 ," 12,995,579 ", 226 ,,," 651,521 ", 8 ," 2,792,160 ", 2 ," 144,840 ", 7 ,,," 16,584,100 ", 243 ,, 8 
2023,52800,CITY OF BARDWELL,N, 679 ," 12,415,786 ", 205 ," 766,493 ", 13 ," 498,810 ", 8 ," 2,803,147 ", 2 ," 142,764 ", 7 ,,," 16,627,000 ", 235 ,, 9 
2022,52900,BARKER CYPRESS MUD,N," 7,983 "," 172,620,000 "," 2,083 "," 34,578,000 ", 550 ," 12,794,000 ", 33 ,,," 13,760,000 ", 11 ," 19,165,000 ", 31 ," 252,917,000 "," 2,708 "," 6,478,995 ", 1 
2023,52900,BARKER CYPRESS MUD,N," 7,992 "," 164,697,000 "," 2,083 "," 36,359,000 ", 832 ," 10,877,000 ", 34 ,,," 13,962,000 ", 11 ," 187,530 ", 34 ," 226,082,530 "," 2,994 "," 4,755,099 ", 1 
2022,53600,BARKSDALE WSC,N, 249 ," 3,297,980 ", 74 ,,," 295,090 ", 4 ,,," 375,540 ", 5 ,,," 3,968,610 ", 83 ,,
2023,53600,BARKSDALE WSC,N, 249 ," 3,769,533 ", 79 ,,," 267,540 ", 4 ,,," 555,560 ", 5 ,,," 4,592,633 ", 88 ," 50,000 ",
2022,54000,BARNHART WSC,N, 110 ," 2,384,923 ", 37 ,,,, 11 ,,,,,,," 2,384,923 ", 48 ,,
2023,54000,BARNHART WSC,Y, 110 ," 2,384,923 ", 37 ,,,, 11 ,,,,,,," 2,384,923 ", 48 ,,
2022,55200,CITY OF BARRY,N, 250 ," 4,789,095 ", 101 ,,,,,,,,,,," 4,789,095 ", 101 ," 106,427 ", 6 
2023,55200,CITY OF BARRY,N, 262 ," 4,674,726 ", 113 ,,,,,,,,,,," 4,674,726 ", 113 ," 110,000 ", 6 
2022,56000,CITY OF BARSTOW,Y, 850 ,, 287 ,,,,,,,,,,,, 287 ,,
2023,56000,CITY OF BARSTOW,Y, 850 ,, 287 ,,,,,,,,,,,, 287 ,,
2022,56800,CITY OF BARTLETT,N," 1,750 "," 31,957,226 ", 574 ," 59,020 ", 1 ," 8,778,081 ", 63 ,,,,,,," 40,794,327 ", 638 ," 4,670,419 ", 30 
2023,56800,CITY OF BARTLETT,N," 1,613 "," 30,013,047 ", 585 ,,," 8,042,074 ", 66 ,,,,,,," 38,055,121 ", 651 ," 4,932,193 ", 30 
2022,57000,BARTLEY WOODS WSC,N, 556 ," 16,484,000 ", 278 ,,,,,,,,,,," 16,484,000 ", 278 ,,
2023,57000,BARTLEY WOODS WSC,N, 534 ," 15,140,500 ", 267 ,,,,,,,,,,," 15,140,500 ", 267 ,,
2022,57070,BARTEN WSC,N, 60 ," 2,403,000 ", 26 ,,,,,,,,,,," 2,403,000 ", 26 ,,
2023,57070,BARTEN WSC,N, 60 ," 2,247,000 ", 26 ,,,,,,,,,,," 2,247,000 ", 26 ,,
2022,57075,BARTON WSC,N, 997 ," 19,975,400 ", 341 ,,,,,,,,,,," 19,975,400 ", 341 ," 3,167,750 ", 24 
2023,57075,BARTON WSC,N, 999 ," 16,235,600 ", 344 ,,,,,,,,,,," 16,235,600 ", 344 ," 1,906,050 ", 24 
2022,57076,BARTON CREEK WSC,N, 645 ," 100,279,000 ", 208 ,,,,,,," 2,213,000 ", 7 ,,," 102,492,000 ", 215 ,,
2023,57076,BARTON CREEK WSC,N, 624 ," 96,200,000 ", 208 ,,,,,,," 1,730,000 ", 7 ,,," 97,930,000 ", 215 ,,
2022,57077,BARTON CREEK WEST WSC,N," 1,470 "," 89,168,250 ", 420 ,,," 2,301,460 ", 4 ,,," 6,171,010 ", 1 ,,," 97,640,720 ", 425 ," 780,000 ", 1 
2023,57077,BARTON CREEK WEST WSC,N," 1,470 "," 90,039,212 ", 420 ,,," 1,488,350 ", 4 ,,," 6,235,670 ", 1 ,,," 97,763,232 ", 425 ," 750,000 ",
2022,57100,CROSS TIMBERS WSC,N," 7,679 "," 552,244,752 "," 2,648 "," 3,942,462 ", 1 ," 19,256,004 ", 63 ,,," 2,110,637 ", 7 ,,," 577,553,855 "," 2,719 ",,
2023,57100,CROSS TIMBERS WSC,N," 8,139 "," 633,304,100 "," 2,712 "," 3,725,000 ", 1 ," 22,577,800 ", 74 ,,," 2,230,800 ", 7 ,,," 661,837,700 "," 2,794 ",,
2022,57110,BAR V K WATER WORKS,N, 108 ," 3,848,103 ", 36 ,,,,,,,,,,," 3,848,103 ", 36 ,,
2023,57110,BAR V K WATER WORKS,N, 108 ," 3,767,453 ", 36 ,,,,,,,,,,," 3,767,453 ", 36 ,,
2022,57600,CITY OF BASTROP,N," 11,384 "," 303,051,522 "," 3,540 "," 46,302,800 "," 1,032 "," 228,996,700 ", 731 ,,,,,,," 578,351,022 "," 5,303 "," 17,290,400 ", 68 
2023,57600,CITY OF BASTROP,N," 11,865 "," 328,149,200 "," 3,733 "," 46,997,700 "," 1,032 "," 241,148,400 ", 731 ,,,,,,," 616,295,300 "," 5,496 "," 15,042,524 ", 68 
2022,57680,BASTROP WEST WATER SUPPLY,N, 293 ," 13,933,000 ", 126 ,,,,,,,,,,," 13,933,000 ", 126 ," 955,000 ",
2023,57680,BASTROP WEST WATER SUPPLY,Y, 293 ," 13,933,000 ", 126 ,,,,,,,,,,," 13,933,000 ", 126 ," 955,000 ",
2022,57700,BATEMAN WATER WORKS,Y, 68 ,,,,,,,,,,,,,,,,
2023,57700,BATEMAN WATER WORKS,Y, 68 ,,,,,,,,,,,,,,,,
2022,57900,BATESVILLE WSC,Y," 1,083 "," 29,648,200 ", 329 ," 541,400 ", 4 ," 4,509,700 ", 14 ,,," 2,165,500 ", 14 ,,," 36,864,800 ", 361 ," 7,850,000 ", 7 
2023,57900,BATESVILLE WSC,Y," 1,083 "," 29,648,200 ", 329 ," 541,400 ", 4 ," 4,509,700 ", 14 ,,," 2,165,500 ", 14 ,,," 36,864,800 ", 361 ," 7,850,000 ", 7 
2022,58250,HOLIDAY BEACH WSC,N," 2,469 "," 22,871,908 ", 795 ,,," 1,012,841 ", 28 ,,,,,,," 23,884,749 ", 823 ," 114,000 ", 45 
2023,58250,HOLIDAY BEACH WSC,N," 2,538 "," 23,093,533 ", 821 ,,," 1,068,704 ", 25 ,,,,,,," 24,162,237 ", 846 ," 129,975 ", 53 
2022,58260,BAVARIAN HILLS,N, 207 ," 5,123,000 ", 67 ,,,,,,," 147,000 ", 1 ," 55,000 ", 1 ," 5,325,000 ", 69 ," 1,588,000 ",
2023,58260,BAVARIAN HILLS,N, 207 ," 5,067,000 ", 67 ,,,,,,," 391,000 ", 1 ," 58,000 ", 1 ," 5,516,000 ", 69 ," 552,000 ",
2022,58290,BAYBROOK MUD 1,N," 2,175 ",,," 22,213,000 ", 669 ," 24,777,000 ", 41 ,,," 4,069,000 ", 12 ," 27,146,000 ", 37 ," 78,205,000 ", 759 ," 1,943,000 ",
2023,58290,BAYBROOK MUD 1,N," 3,114 ",,," 26,275,000 ", 985 ," 32,278,000 ", 47 ,,," 902,000 ", 6 ," 25,567,000 ", 42 ," 85,022,000 "," 1,080 "," 1,644,000 ",
2022,58300,BAYRIDGE SUBDIVISION WATER SYSTEM,N, 234 ," 4,516,000 ", 78 ,,,,,,,,,,," 4,516,000 ", 78 ," 13,000 ",
2023,58300,BAYRIDGE SUBDIVISION WATER SYSTEM,N, 234 ," 3,668,000 ", 78 ,,,,,,,,,,," 3,668,000 ", 78 ," 15,000 ",
2022,58400,CITY OF BAY CITY,N," 18,061 "," 338,212,716 "," 6,550 "," 89,136,900 "," 2,006 "," 140,631,714 ", 824 ," 15,198,200 ", 20 ," 17,894,100 ", 26 ,,," 601,073,630 "," 9,426 "," 158,970,064 ", 361 
2023,58400,CITY OF BAY CITY,N," 18,061 "," 354,950,060 "," 6,559 "," 100,376,800 "," 2,016 "," 149,575,900 ", 792 ," 24,271,600 ", 2 ," 58,295,700 ", 89 ,,," 687,470,060 "," 9,458 "," 201,475,800 ", 361 
2022,58610,BAYLOR WSC,N," 2,789 "," 119,017,920 "," 1,115 ",,,,,,,,,,," 119,017,920 "," 1,115 ",, 82 
2023,58610,BAYLOR WSC,N," 2,838 "," 89,649,700 "," 1,135 ",,,,,,,,,,," 89,649,700 "," 1,135 ",,
2022,58625,BRIARCREEK SUBDIVISION,Y," 2,760 "," 58,777,000 ", 920 ,,,,,,,,,,," 58,777,000 ", 920 ," 204,000 ",
2023,58625,BRIARCREEK SUBDIVISION,Y," 2,760 "," 58,777,000 ", 920 ,,,,,,,,,,," 58,777,000 ", 920 ," 204,000 ",
2022,59455,BAYOU SHADOWS WATER SYSTEM,N, 150 ," 3,326,000 ", 55 ,,,,,,,,,,," 3,326,000 ", 55 ,,
